epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1351.54,0.11338,0.45672,0.87844,0.95408,0.93333,0.98389,0.98389,0.14437,0.69144,0.44973,0.000537733,0.000537733,0.000537733
65,1369.24,0.12272,0.49113,0.9019,0.9561,0.93333,0.98389,0.98389,0.15422,0.66859,0.45338,0.000523586,0.000523586,0.000523586
66,1384.91,0.13107,0.51337,0.8905,0.9562,0.93333,0.98389,0.98389,0.16006,0.63822,0.45417,0.000509438,0.000509438,0.000509438
67,1400.44,0.1364,0.4699,0.89003,0.95584,0.93333,0.98389,0.98389,0.15119,0.65114,0.45203,0.000495291,0.000495291,0.000495291
68,1418.19,0.12003,0.46142,0.85981,0.96476,0.93333,0.98389,0.98389,0.15623,0.66689,0.45432,0.000481144,0.000481144,0.000481144
69,1435.14,0.11869,0.51431,0.92818,0.97243,0.9384,0.995,0.995,0.16383,0.66009,0.46172,0.000466997,0.000466997,0.000466997
70,1454.06,0.11363,0.46551,0.91755,0.97921,0.93892,0.995,0.995,0.16394,0.65577,0.46474,0.00045285,0.00045285,0.00045285
71,1471.68,0.12231,0.46334,0.91441,0.98548,0.94092,0.995,0.995,0.15179,0.6404,0.45264,0.000438703,0.000438703,0.000438703
72,1489.89,0.12065,0.48046,0.8975,0.98811,0.94319,0.995,0.995,0.13508,0.64086,0.44728,0.000424556,0.000424556,0.000424556
73,1506.14,0.11783,0.48347,0.90207,0.9891,0.94633,0.995,0.995,0.13324,0.6674,0.43918,0.000410409,0.000410409,0.000410409
74,1521.77,0.12194,0.44643,0.88987,0.9885,0.94805,0.995,0.995,0.14429,0.65075,0.44203,0.000396262,0.000396262,0.000396262
75,1536.92,0.11285,0.468,0.88757,0.98314,0.95316,0.995,0.995,0.13044,0.6283,0.43354,0.000382115,0.000382115,0.000382115
76,1551.84,0.10659,0.42162,0.88723,0.98267,0.95999,0.995,0.995,0.12071,0.64985,0.43365,0.000367967,0.000367967,0.000367967
77,1568.46,0.10186,0.40264,0.89677,0.96731,0.93333,0.98389,0.98389,0.15159,0.66775,0.45809,0.00035382,0.00035382,0.00035382
